,x,y
0,2068,1208
1,2065,1253
2,2066,1300
3,2073,1345
4,2090,1387
5,2118,1425
6,2152,1457
7,2190,1484
8,2232,1496
9,2274,1489
10,2312,1466
11,2347,1436
12,2375,1401
13,2396,1360
14,2406,1317
15,2410,1274
16,2412,1230
17,2101,1191
18,2126,1168
19,2162,1165
20,2196,1173
21,2229,1189
22,2268,1189
23,2303,1176
24,2339,1170
25,2372,1178
26,2393,1202
27,2246,1220
28,2243,1249
29,2241,1278
30,2239,1308
31,2196,1317
32,2217,1325
33,2238,1333
34,2261,1327
35,2282,1321
36,2136,1212
37,2157,1202
38,2179,1205
39,2199,1223
40,2177,1224
41,2154,1222
42,2289,1227
43,2310,1209
44,2333,1210
45,2351,1222
46,2335,1230
47,2312,1230
48,2157,1362
49,2188,1354
50,2217,1353
51,2239,1358
52,2262,1354
53,2289,1357
54,2312,1368
55,2288,1397
56,2259,1413
57,2236,1415
58,2212,1411
59,2184,1394
60,2168,1364
61,2216,1364
62,2238,1367
63,2261,1365
64,2302,1368
65,2260,1389
66,2237,1391
67,2215,1388
68,393,1366
69,385,1463
70,380,1560
71,390,1656
72,422,1744
73,477,1819
74,545,1884
75,621,1935
76,709,1952
77,792,1941
78,855,1889
79,910,1828
80,959,1760
81,996,1688
82,1020,1614
83,1033,1539
84,1040,1463
85,486,1350
86,544,1324
87,611,1327
88,674,1350
89,731,1383
90,854,1394
91,905,1376
92,956,1365
93,1005,1369
94,1031,1406
95,786,1451
96,782,1504
97,780,1557
98,777,1611
99,690,1632
100,725,1644
101,764,1659
102,799,1652
103,830,1641
104,555,1428
105,597,1410
106,645,1418
107,685,1450
108,637,1457
109,588,1452
110,855,1465
111,897,1439
112,942,1442
113,971,1464
114,942,1482
115,897,1479
116,613,1711
117,667,1698
118,722,1695
119,755,1704
120,786,1699
121,826,1708
122,865,1725
123,821,1781
124,781,1804
125,747,1808
126,710,1803
127,658,1776
128,631,1717
129,719,1720
130,752,1724
131,784,1721
132,846,1728
133,783,1759
134,750,1764
135,717,1757
136,1552,1289
137,1551,1329
138,1552,1370
139,1555,1412
140,1565,1451
141,1586,1488
142,1613,1521
143,1644,1549
144,1680,1562
145,1719,1557
146,1755,1537
147,1787,1510
148,1813,1480
149,1831,1443
150,1841,1401
151,1849,1358
152,1856,1313
153,1573,1271
154,1593,1250
155,1627,1248
156,1659,1257
157,1688,1272
158,1722,1273
159,1753,1261
160,1785,1260
161,1817,1265
162,1837,1287
163,1703,1300
164,1701,1327
165,1698,1354
166,1696,1382
167,1662,1395
168,1678,1402
169,1694,1409
170,1712,1405
171,1729,1400
172,1604,1295
173,1621,1285
174,1644,1288
175,1664,1305
176,1641,1307
177,1619,1306
178,1742,1311
179,1762,1295
180,1785,1295
181,1802,1308
182,1786,1316
183,1763,1316
184,1620,1439
185,1646,1437
186,1673,1436
187,1691,1442
188,1711,1439
189,1738,1445
190,1763,1449
191,1737,1487
192,1708,1501
193,1686,1503
194,1665,1499
195,1640,1480
196,1629,1443
197,1671,1445
198,1690,1449
199,1709,1448
200,1754,1452
201,1709,1475
202,1688,1477
203,1669,1472
204,2673,1135
205,2670,1180
206,2671,1224
207,2676,1270
208,2687,1315
209,2712,1355
210,2748,1386
211,2791,1409
212,2845,1413
213,2905,1409
214,2961,1391
215,3012,1365
216,3048,1328
217,3068,1280
218,3078,1230
219,3084,1178
220,3089,1126
221,2683,1096
222,2704,1068
223,2740,1061
224,2777,1064
225,2813,1075
226,2857,1069
227,2901,1055
228,2948,1049
229,2994,1053
230,3031,1078
231,2836,1111
232,2832,1141
233,2828,1169
234,2824,1200
235,2792,1233
236,2812,1236
237,2831,1240
238,2855,1235
239,2878,1233
240,2720,1129
241,2741,1117
242,2766,1117
243,2791,1131
244,2765,1135
245,2740,1136
246,2901,1128
247,2929,1111
248,2957,1110
249,2982,1121
250,2959,1131
251,2930,1131
252,2751,1289
253,2776,1276
254,2805,1270
255,2829,1276
256,2857,1271
257,2893,1278
258,2930,1293
259,2893,1310
260,2856,1320
261,2828,1321
262,2802,1318
263,2775,1308
264,2763,1290
265,2805,1289
266,2830,1293
267,2857,1289
268,2917,1292
269,2856,1289
270,2828,1292
271,2803,1289
